n_total,mean_abs_corr,cond_num,rank,logdet_quad
6,,inf,5,
7,,inf,6,
8,,inf,7,
9,,inf,8,
10,,inf,9,
11,0.362827843526241,16.839993581686876,10,
12,0.3899326981975501,20.01935377458589,11,
13,0.450881187159265,24.693080193257003,11,
14,0.4457691235510366,29.03194213420844,11,
15,0.4331842949292825,32.659334143132575,11,
16,0.4435428822306754,36.22149705524293,11,
17,0.4552197967178186,38.393966937469976,12,
18,0.4746707025956223,41.36693356862126,12,
19,0.4440605691008004,16.28253047845153,13,
20,0.4280173816785712,15.824795462241326,13,
21,0.4345904360889671,16.372327566683317,13,
22,0.442728842564737,16.922856805862523,13,
23,0.4308249776546382,16.75332541177946,13,
24,0.4216486005541457,16.698591040671104,13,
25,0.4143841328069744,16.72199556643846,13,
26,0.4085086432472085,16.80033733516888,13,
27,0.4086734164329422,17.023399178188242,13,
28,0.408817365671227,17.2381620472266,13,
29,0.4089439309228128,17.44461778427795,13,
30,0.4090558662207944,17.64286885703708,13,
31,0.4091553974400931,17.833096786002034,13,
32,0.410320688725823,18.03408769077652,13,
33,0.4139976710515444,18.275656110752312,13,
34,0.4167771621269633,18.51673383625425,13,
35,0.4173462554628233,18.74439459038149,13,
36,0.4189951222880473,18.981729139745035,13,
37,0.4213477949179533,19.214712195765973,13,
38,0.4239286163882393,19.43463098960838,13,
39,0.4262874256195915,19.609951139685982,13,
40,0.4257465592137815,19.70751012889407,13,
41,0.4277346028294038,19.867184927237503,13,
42,0.4304707145326257,20.01959882245277,13,
43,0.3673121909665799,17.149623114401273,14,
44,0.3509042473485315,16.18399472017939,15,
45,0.3131746395477813,15.763785521210998,16,
46,0.3282931370856169,9.203681229543804,17,
47,0.3086153593527152,7.1909209999019605,18,
48,0.2942070623623228,7.137402208804632,19,
49,0.2900671002291177,6.339893587660073,20,
50,0.2998728745884446,6.431737442361509,21,-7.519391232868967
51,0.2929430468522499,6.853074550827388,21,-5.496766621271721
52,0.2850399465281724,6.8233075365211935,21,-4.38240342303077
53,0.2820758350979103,6.496581546569784,21,-3.484766044753669
54,0.2651962572823204,6.36049231416058,21,-2.890375621246463
55,0.2615522147829877,6.220866206132677,21,-2.4128165806712927
56,0.2729386079220052,5.968588756964092,21,-2.193324273452408
57,0.2671147356266369,5.855765191186045,21,-2.0020785866768724
