Plasma_Power_W,Cycles,Chuck_T_C,O2_Flow_sccm,Oxidant_Dose_s,T1,T2,T3,T4,T5,Thickness_mean,Thickness_5pos,source
300.0,100.0,250.0,10.0,20.0,30.87,1.5,34.75,42.82,36.92,36.34,29.372000000000003,OFAT
300.0,100.0,200.0,10.0,20.0,19.39,15.75,17.74,23.54,19.02,19.9225,19.088,OFAT
300.0,100.0,150.0,10.0,20.0,25.67,17.57,23.41,26.67,26.9,25.6625,24.044,OFAT
100.0,100.0,150.0,10.0,20.0,22.21,19.36,18.33,18.33,21.96,20.2075,20.038,OFAT
50.0,100.0,150.0,10.0,20.0,16.17,16.32,14.6,14.83,15.78,15.345,15.540000000000001,OFAT
20.0,100.0,150.0,10.0,20.0,14.41,14.77,14.24,14.23,14.18,14.265,14.366,OFAT
20.0,100.0,250.0,10.0,20.0,12.16,13.13,12.75,13.67,13.11,12.9225,12.963999999999999,OFAT
20.0,100.0,250.0,10.0,60.0,12.68,13.29,13.11,13.42,13.9,13.2775,13.280000000000001,OFAT
100.0,100.0,250.0,10.0,60.0,15.22,14.64,15.01,15.57,15.52,15.329999999999998,15.191999999999998,OFAT
300.0,50.0,250.0,10.0,60.0,8.05,7.14,7.73,7.73,7.91,7.855,7.712000000000001,OFAT
20.0,50.0,250.0,50.0,60.0,1.22,0.65,1.42,7.03,1.56,2.8075,2.3760000000000003,OFAT
300.0,50.0,250.0,50.0,60.0,8.28,7.78,7.35,7.78,7.74,7.7875,7.786,OFAT
300.0,50.0,250.0,50.0,60.0,9.33,9.53,9.17,8.9,9.02,9.105,9.190000000000001,OFAT
100.0,50.0,250.0,50.0,60.0,7.64,7.63,7.88,7.63,7.79,7.734999999999999,7.714,OFAT
20.0,50.0,250.0,50.0,60.0,6.28,6.76,7.22,7.07,6.72,6.8225,6.81,OFAT
20.0,50.0,250.0,50.0,60.0,21.04,23.08,13.88,9.84,15.22,14.995,16.612000000000002,OFAT
20.0,57.0,250.0,50.0,60.0,15.01,18.66,14.83,11.65,14.61,14.025,14.952000000000002,OFAT
20.0,50.0,250.0,50.0,60.0,10.38,16.93,8.59,8.13,9.09,9.0475,10.623999999999999,OFAT
20.0,120.0,250.0,50.0,60.0,23.56,33.93,20.28,21.18,23.88,22.225,24.566000000000003,OFAT
20.0,120.0,250.0,50.0,60.0,27.55,37.57,25.12,23.16,27.91,25.935,28.262,OFAT
20.0,30.0,250.0,50.0,60.0,7.6,9.3,6.6,6.28,7.64,7.03,7.484,OFAT
20.0,55.0,250.0,50.0,60.0,14.52,21.19,14.42,10.38,14.81,13.5325,15.064000000000002,OFAT
20.0,120.0,250.0,50.0,60.0,28.83,65.49,22.59,21.52,28.22,25.29,33.33,OFAT
20.0,120.0,250.0,50.0,60.0,23.13,29.87,21.15,20.92,22.66,21.965,23.546,OFAT
20.0,120.0,250.0,50.0,60.0,25.94,33.32,21.32,21.2,23.87,23.082500000000003,25.130000000000003,OFAT
20.0,120.0,250.0,50.0,60.0,23.24,29.04,20.07,20.07,21.67,21.262500000000003,22.818,OFAT
20.0,100.0,250.0,50.0,60.0,18.49,20.62,17.67,17.22,17.93,17.8275,18.386000000000003,OFAT
