series,process_temperature_C,stop_valve_time_s,MeCpPtMe3_pulse_time_s,O2_pulse_time_s
Fig2_OFAT_sweeps,200,5.0,0.5,5.0
Fig2_OFAT_sweeps,250,5.0,0.5,5.0
Fig2_OFAT_sweeps,300,5.0,0.5,5.0
Fig2_OFAT_sweeps,350,5.0,0.5,5.0
Fig2_OFAT_sweeps,400,5.0,0.5,5.0
Fig2_OFAT_sweeps,300,10.0,0.5,5.0
Fig2_OFAT_sweeps,300,15.0,0.5,5.0
Fig2_OFAT_sweeps,300,20.0,0.5,5.0
Fig2_OFAT_sweeps,300,25.0,0.5,5.0
Fig2_OFAT_sweeps,300,5.0,1.0,5.0
Fig2_OFAT_sweeps,300,5.0,1.5,5.0
Fig2_OFAT_sweeps,300,5.0,2.0,5.0
Fig2_OFAT_sweeps,300,5.0,2.5,5.0
Fig2_OFAT_sweeps,300,5.0,0.5,10.0
Fig2_OFAT_sweeps,300,5.0,0.5,15.0
Fig2_OFAT_sweeps,300,5.0,0.5,20.0
Fig2_OFAT_sweeps,300,5.0,0.5,25.0
