part,model,test_domain,metric,delta_point,lo,hi,frac_favor_B,n_groups,B_total
sametest,GPR,OFAT,R2,0.42497681938284054,0.007144639278895098,1.5906023041317126,0.98245,24,20000
sametest,GPR,OFAT,RMSE,-2.1804709286414137,-5.074985459242999,-0.045139259344169486,0.98245,24,20000
sametest,GPR,OFAT,MAE,-1.0772830155461777,-2.703426671962263,-0.04310639199041801,0.98175,24,20000
sametest,GPR,DOE,R2,0.7988375758662996,0.6227080133517147,1.3074004144486873,1.0,15,20000
sametest,GPR,DOE,RMSE,-7.569734507441471,-9.988397190783004,-5.264312533405694,1.0,15,20000
sametest,GPR,DOE,MAE,-7.726789773521236,-10.471002943080618,-4.690826891292133,1.0,15,20000
sametest,GPR,all,R2,0.5996140986958685,0.30671673121566234,1.122174595566801,1.0,39,20000
sametest,GPR,all,RMSE,-3.836731304953297,-6.087507449294504,-2.036918475465706,1.0,39,20000
sametest,GPR,all,MAE,-2.8271510974194314,-4.750655147536532,-1.4612339709256283,1.0,39,20000
sametest,Random Forest,OFAT,R2,0.01357707008793746,-0.054746273366865626,0.16411522383312907,0.65795,24,20000
sametest,Random Forest,OFAT,RMSE,-0.08892145850815814,-1.0012046832439334,0.31552079866211236,0.65795,24,20000
sametest,Random Forest,OFAT,MAE,-0.10298793937993334,-0.7811357794170861,0.37238771199444154,0.6463,24,20000
sametest,Random Forest,DOE,R2,0.03850370544782955,-0.005316933696453332,0.12270590138805394,0.95745,15,20000
sametest,Random Forest,DOE,RMSE,-0.7629102140020505,-1.9331113411815533,0.0968927567487613,0.95745,15,20000
sametest,Random Forest,DOE,MAE,-0.9233011088705844,-1.713247071459372,-0.2299481140177336,0.99495,15,20000
sametest,Random Forest,all,R2,0.02225941516517954,-0.01602844328190434,0.12180969964209667,0.90545,39,20000
sametest,Random Forest,all,RMSE,-0.2083201719142087,-1.054078913158118,0.14178994544346282,0.90545,39,20000
sametest,Random Forest,all,MAE,-0.34736665411768675,-0.9270907092432286,0.12382706437601797,0.93275,39,20000
sametest,Ridge,OFAT,R2,0.16509248880849808,-0.0203434464376324,0.6594664432589324,0.93815,24,20000
sametest,Ridge,OFAT,RMSE,-0.9098225138388649,-2.467398682850749,0.1270130274546099,0.93815,24,20000
sametest,Ridge,OFAT,MAE,-0.6376326523693885,-1.6685376480518155,0.06976794771215761,0.9575,24,20000
sametest,Ridge,DOE,R2,0.0452067711888558,-0.01101060165510759,0.2748988373593465,0.95365,15,20000
sametest,Ridge,DOE,RMSE,-0.7808067703422739,-3.360419658233068,0.1510023412041961,0.95365,15,20000
sametest,Ridge,DOE,MAE,-0.726801281618392,-3.27245385594631,0.28014931846839236,0.9261,15,20000
sametest,Ridge,all,R2,0.13084658156268086,0.011390963258682647,0.32567998243139035,0.98945,39,20000
sametest,Ridge,all,RMSE,-1.0254479608295024,-2.1507158829052786,-0.09522839797001383,0.98945,39,20000
sametest,Ridge,all,MAE,-0.7216661087981551,-1.714923123274764,-0.09461477098325868,0.98875,39,20000
sametest,XGBoost,OFAT,R2,0.04846022189189603,-0.05367058961363467,0.149520728802804,0.8675,24,20000
sametest,XGBoost,OFAT,RMSE,-0.2847465332592969,-0.8177851376610779,0.27039489291842506,0.8675,24,20000
sametest,XGBoost,OFAT,MAE,-0.4120883468219223,-0.9807183800714359,0.10806129367785032,0.93305,24,20000
sametest,XGBoost,DOE,R2,0.10083433357336868,0.016718079541681207,0.19830504612703287,0.9904,15,20000
sametest,XGBoost,DOE,RMSE,-1.637502180851873,-2.7423515245298984,-0.2661930756166994,0.9904,15,20000
sametest,XGBoost,DOE,MAE,-1.388965308825176,-2.639406899611155,-0.024394603013990792,0.97675,15,20000
sametest,XGBoost,all,R2,0.07110980803105538,0.004930110134913532,0.1374193442943793,0.9822,39,20000
sametest,XGBoost,all,RMSE,-0.6011652148659463,-1.1979632694407,-0.03947641992012785,0.9822,39,20000
sametest,XGBoost,all,MAE,-0.6307378476126146,-1.2413410540567802,-0.13647689344288447,0.99365,39,20000
