n,n_total,n_groups,mean_abs_corr,cond_num,det_XtX
6,6,6,,inf,0.0
7,7,7,,inf,0.0
8,8,8,,inf,0.0
9,9,9,,inf,0.0
10,10,10,,inf,0.0
11,11,11,0.362827843526241,16.839993581686883,219271.81107543228
12,12,12,0.3899326981975501,20.019353774585884,261508.7575423621
13,13,12,0.450881187159265,24.69308019325696,290697.2347454963
14,14,13,0.44576912355103665,29.03194213420849,358011.56527489383
15,15,13,0.43318429492928257,32.65933414313263,452769.757639331
16,16,13,0.4435428822306754,36.221497055242956,563762.8371749057
17,17,14,0.4552197967178186,38.39396693747002,720278.6604120292
18,18,14,0.4746707025956223,41.36693356862118,890194.7421313226
19,19,15,0.44406056910080044,16.282530478451513,3617659.3916928764
20,20,15,0.4280173816785712,15.824795462241344,6376088.964986377
21,21,16,0.4345904360889671,16.372327566683417,8082782.05086103
22,22,17,0.442728842564737,16.922856805862533,9963351.31148764
23,23,17,0.4308249776546382,16.753325411779468,14597399.797283923
24,24,17,0.42164860055414577,16.69859104067106,19843570.149295226
25,25,17,0.4143841328069744,16.72199556643846,25875441.233885
26,26,17,0.40850864324720854,16.80033733516886,32858024.64795952
27,27,18,0.4086734164329422,17.023399178188257,40300133.61770444
28,28,18,0.40881736567122706,17.238162047226584,49047513.8931578
29,29,18,0.4089439309228128,17.444617784277966,59279186.79093294
30,30,18,0.40905586622079443,17.642868857037094,71191772.29533687
31,31,18,0.40915539744009316,17.833096786002017,85000659.91291201
32,32,19,0.41032068872582306,18.034087690776527,100734747.20609187
33,33,20,0.41399767105154445,18.275656110752323,118892345.86461769
34,34,21,0.4167771621269633,18.51673383625427,141326450.7436125
35,35,22,0.4173462554628233,18.744394590381475,168504679.2918517
36,36,23,0.41899512228804736,18.98172913974505,197593641.73984113
37,37,24,0.4213477949179533,19.214712195765806,229240818.94312215
38,38,24,0.42392861638823937,19.434630989608383,264217187.9160823
39,39,24,0.42628742561959154,19.60995113968599,303700027.4969826
40,40,24,0.4257465592137815,19.70751012889402,350741492.5063012
41,41,24,0.4277346028294038,19.867184927237588,400728339.4973783
42,42,24,0.43047071453262575,20.019598822452778,456537150.14159346
