n_total,median,q25,q75,model
6,-0.4393148315986075,-0.4393148495136173,-0.43931481276851886,GPR
6,0.056963548099834505,0.0504661561544981,0.07742603992079378,Random Forest
6,-0.6753174968898208,-0.6753174968898208,-0.6753174968898208,Ridge
6,-0.06740284663229855,-0.07577032246897744,-0.06340032159305006,XGBoost
7,-0.5739722796758832,-0.5739726684356514,-0.5739716456274233,GPR
7,-0.3379736995033902,-0.4131507103424057,-0.2854154744105886,Random Forest
7,-0.3234503495932701,-0.3234503495932701,-0.3234503495932701,Ridge
7,0.08474087570704486,0.07869951586775004,0.10071608782923352,XGBoost
8,-0.521122986119641,-0.5211240114448985,-0.5211223539737613,GPR
8,0.13811043119353236,0.10872678740896631,0.17797079579821615,Random Forest
8,-0.0933771099772582,-0.0933771099772582,-0.0933771099772582,Ridge
8,0.15154585515953015,0.10649669638617022,0.18057679769766283,XGBoost
9,-0.4864871332566387,-0.48648742576376175,-0.48648701214849216,GPR
9,0.18413577328072978,0.17998143110879838,0.2039332472332323,Random Forest
9,0.0197264430550423,0.0197264430550423,0.0197264430550423,Ridge
9,-0.28072436794156835,-0.3232116189420804,-0.20101783075917978,XGBoost
10,-0.5597672200406304,-0.5621578076168053,-0.5597582964548748,GPR
10,-0.8638697074371294,-0.9056061983542512,-0.8325592230705534,Random Forest
10,-0.2686344477306004,-0.2686344477306004,-0.2686344477306004,Ridge
10,-1.732365878581452,-1.8263497834431544,-1.660233576049121,XGBoost
11,-1.0899844846016253,-1.15541906128843,-0.9413217269398388,GPR
11,-0.22640408809242224,-0.24084994205652602,-0.17972843634507296,Random Forest
11,0.2127384159402321,0.2127384159402321,0.2127384159402321,Ridge
11,-0.2068890321867018,-0.254743949945825,-0.1759230441636278,XGBoost
12,-0.1501976761509068,-0.6525345502177868,-0.10767639100932153,GPR
12,0.15195529425019755,0.13546271839338636,0.1786373171591979,Random Forest
12,0.2978320000717759,0.2978320000717759,0.2978320000717759,Ridge
12,0.37483384590340935,0.3222321511678695,0.41396236860178387,XGBoost
13,-0.17167527796816978,-0.8262259090712403,-0.10248194191416299,GPR
13,0.24747383105255083,0.18224229048284046,0.25581449280796903,Random Forest
13,0.3350679356160864,0.3350679356160864,0.3350679356160864,Ridge
13,0.3686809301773014,0.3366123726401067,0.4231053704887155,XGBoost
14,-0.08267941072272364,-0.6930368941509375,-0.056911924104560696,GPR
14,0.27690448435815757,0.25973024003532574,0.2992971401985484,Random Forest
14,0.3259496778831453,0.3259496778831453,0.3259496778831453,Ridge
14,0.3058985208940386,0.25675196327819827,0.3686394107036411,XGBoost
15,-0.08806952474420955,-0.25189738192414296,-0.0563627982665914,GPR
15,0.33186922391010576,0.32062936596117153,0.35574323360770144,Random Forest
15,0.3100523653396126,0.3100523653396126,0.3100523653396126,Ridge
15,0.40163679698355775,0.3217504441613118,0.41662849823475445,XGBoost
16,0.09415037246823796,-0.14985992706226944,0.1350747829043627,GPR
16,0.3281118051228803,0.28522008083768235,0.34303553523303737,Random Forest
16,0.0987415962100297,-0.016038468240961203,0.11180320502360933,Ridge
16,0.4098725365057784,0.36693886830323097,0.42342110247445836,XGBoost
17,0.05289856880629115,0.05134426030836098,0.0530245824091012,GPR
17,0.3133902065009423,0.2912809490327109,0.3329793223673579,Random Forest
17,0.01886733274669995,-0.00192508315597725,0.11574020000138877,Ridge
17,0.3818005554130371,0.3530305568703443,0.40247420244601695,XGBoost
18,0.0705290346940748,0.06752619067555579,0.07123612138107449,GPR
18,0.35285367687761127,0.30979819821053883,0.4033337344453306,Random Forest
18,0.049205430335607855,0.015473629625302476,0.1583873275668855,Ridge
18,0.3906741828880548,0.3747449026318016,0.4178097051434358,XGBoost
19,0.0860565300569542,0.0860562534363111,0.08607543309589064,GPR
19,0.38645209968142724,0.32481340290973804,0.4063552994925452,Random Forest
19,0.10340246688835525,0.018636698901327402,0.16559853647244294,Ridge
19,0.3405394198454713,0.29880012258572913,0.3469658053983655,XGBoost
20,0.1064326491628807,0.10637646621188253,0.10644392206330965,GPR
20,0.34049230534822233,0.331443484944554,0.3503957936082331,Random Forest
20,0.0426655995523067,0.013817260143249775,0.10983341186294077,Ridge
20,0.2487109767282378,0.22674007635473875,0.2566867999604264,XGBoost
21,-0.0388092999906636,-0.038810214197241275,-0.03832761828981297,GPR
21,0.38511475741369483,0.3520826391444176,0.4066585303371475,Random Forest
21,0.09439132013792714,0.04319126662473163,0.14643096023040106,Ridge
21,0.305899229367873,0.28059034389543,0.31690266103939657,XGBoost
22,-0.049033579487513496,-0.0490355499009618,-0.04250702211638348,GPR
22,0.4182057748782383,0.4039041863621305,0.4245047722519475,Random Forest
22,0.043280565895529505,-0.00805127398249105,0.11842637910850003,Ridge
22,0.3137123445673164,0.27077365084159155,0.3197902600807554,XGBoost
23,-0.13450578787841574,-0.1351541859499565,-0.1232046045567359,GPR
23,0.3950205148886636,0.35482847827082387,0.41280265989107456,Random Forest
23,0.0358461039070531,-0.007704127747716824,0.0834771107970055,Ridge
23,0.2652545649940933,0.24603125208350696,0.2794363472662141,XGBoost
24,-0.1487327558278279,-0.14954096659811886,-0.1414306019800563,GPR
24,0.36272416530818974,0.3385609907508429,0.3768391376938088,Random Forest
24,0.04547182748187115,-0.05673742312803637,0.10401851060222442,Ridge
24,0.2433492750464471,0.21400984761455716,0.25857094544061254,XGBoost
25,-0.1626338567710461,-0.1627311382769109,-0.1626323290685959,GPR
25,0.33281155192411827,0.3094377452331021,0.34919090394795715,Random Forest
25,0.023507646631760852,-0.060995041635736075,0.09668070554692562,Ridge
25,0.18269133344768054,0.16233644817212334,0.21113951392144997,XGBoost
26,-0.046738602355415895,-0.04674162917911655,-0.04673582849419837,GPR
26,0.303510346874065,0.29449920706515087,0.3344382513107067,Random Forest
26,-0.045638259649115304,-0.0813195366139042,0.1126205723080363,Ridge
26,0.1719808767700515,0.14886149265981144,0.2161172938557219,XGBoost
27,-0.3063769534813523,-0.30637967707336394,-0.30637452104122237,GPR
27,0.40130047311047357,0.39244187187110474,0.4468189664142991,Random Forest
27,0.09136831756520189,9.948969251459983e-05,0.1802527632690162,Ridge
27,0.3176092108665606,0.3009290754791769,0.3505442371206928,XGBoost
28,-0.31514583854419476,-0.31514821462886733,-0.31510430847342236,GPR
28,0.47581987086426014,0.4462489172835822,0.5196899766722732,Random Forest
28,0.18834112666820468,0.1219076306669341,0.2815144864923573,Ridge
28,0.3793079893467428,0.36938312857850886,0.4072669319731059,XGBoost
29,-0.1665186845312649,-0.16652005395297084,-0.1665174828116116,GPR
29,0.5858546442470223,0.5576950887530842,0.5978421743441744,Random Forest
29,0.24296286621278965,0.22478672149595327,0.31928517575035265,Ridge
29,0.4602521400978047,0.44991959673355025,0.4798673194574262,XGBoost
30,-0.19860735649747424,-0.1987760435365821,-0.1986063577043757,GPR
30,0.5805797394794197,0.5567983907923397,0.5940058965633805,Random Forest
30,0.2870120854355087,0.24675333644074163,0.30277469907325305,Ridge
30,0.46479669284903213,0.42659259917435055,0.4827220125365923,XGBoost
31,-0.21531849933529054,-0.21550378266341816,-0.2153175428751236,GPR
31,0.5779545641471568,0.5616292088305822,0.5968029473017459,Random Forest
31,0.2737493722571419,0.23899716330953194,0.3197174854106466,Ridge
31,0.449820752035695,0.4255605838495299,0.46337603656753534,XGBoost
32,-0.062942118432847,-0.06294579205763501,-0.062939520194585,GPR
32,0.5607390226462076,0.5415819506624506,0.573503985829894,Random Forest
32,0.29768808758413656,0.273907764149188,0.31099652068314393,Ridge
32,0.4542015925508662,0.42812713380990086,0.47455578789165626,XGBoost
33,0.03455734370740445,0.0345566464345282,0.03455831325668887,GPR
33,0.5624398158177315,0.5452796454054167,0.5828151998688396,Random Forest
33,0.2912570723188816,0.2776720536033509,0.30980446803986095,Ridge
33,0.44155957601955315,0.42043573085144564,0.4724213900197264,XGBoost
34,0.077889205691846,0.07788893434684042,0.07788937200990992,GPR
34,0.5623766812085482,0.5194305381698265,0.5987879260822415,Random Forest
34,0.34171221537312224,0.3261335335064771,0.3648333731269299,Ridge
34,0.4838134167305503,0.4456681628486301,0.4882678341691969,XGBoost
35,0.12867578942529223,0.12867557279720587,0.12867602974658454,GPR
35,0.6021759679923765,0.5906946807602451,0.6243752942698618,Random Forest
35,0.4322874090226247,0.4004035574756654,0.4526916272870078,Ridge
35,0.5142006196668978,0.48958880343165045,0.5197376384388384,XGBoost
36,0.19617604349605922,0.19617562501417668,0.19617647754952547,GPR
36,0.6442142809477571,0.6373293417051441,0.6542418534155212,Random Forest
36,0.464667025073617,0.41139471745164613,0.47314544421529414,Ridge
36,0.5490722811109705,0.5407732627005281,0.5553506696596576,XGBoost
37,0.23743689502806045,0.2374362403184262,0.23743773334811374,GPR
37,0.6843691410776249,0.6675674544104084,0.6902518918060176,Random Forest
37,0.4633018847791833,0.4389626955066116,0.4972551790427317,Ridge
37,0.5856219833439942,0.5533966459964199,0.6029615179382468,XGBoost
38,0.2239340284792143,0.22393128708010934,0.2239346803824508,GPR
38,0.6895292240228423,0.6710310402714668,0.6978241526716119,Random Forest
38,0.4629506142631908,0.4355732207413404,0.4837371626970597,Ridge
38,0.587621190853038,0.5794003509101047,0.6032565742172495,XGBoost
39,0.21787921306482372,0.21787742719922112,0.2178799490877235,GPR
39,0.6918859662498253,0.6768044925951598,0.705228217785905,Random Forest
39,0.45459753558536686,0.4212922623497842,0.47445202539769027,Ridge
39,0.6044625173927214,0.5871139103125409,0.6111288450279512,XGBoost
40,0.21578742950327223,0.2157864759796999,0.2157878234170125,GPR
40,0.6619546316172624,0.624040809532971,0.675287359996414,Random Forest
40,0.44333365141912434,0.4055867975108817,0.4813372802695472,Ridge
40,0.5692617087139213,0.5554243541756594,0.6013694046072454,XGBoost
41,0.19288666178150995,0.19288609025348055,0.19288732416246024,GPR
41,0.6518171997353697,0.6424731312766265,0.6683583849677701,Random Forest
41,0.4428496097088041,0.41545288325396124,0.4714620512749726,Ridge
41,0.5850593167030014,0.57901438344821,0.6050827810209638,XGBoost
42,0.22514641881348152,0.22514468970436585,0.22514945768913025,GPR
42,0.6544416990161042,0.6449487679592192,0.6675481964824584,Random Forest
42,0.44454880884899206,0.41035567849824456,0.48375827548078165,Ridge
42,0.5699081593700986,0.5623522986120469,0.577869294277199,XGBoost
43,0.25620387093252817,0.2562031606527756,0.2562041440072489,GPR
43,0.6557335500650107,0.6421327399306541,0.681122724720039,Random Forest
43,0.599231423697502,0.5822759463304319,0.6055250355528173,Ridge
43,0.613877088818714,0.6024651562634722,0.6236322464592899,XGBoost
44,0.45731290232628996,0.43849527268960353,0.45731406212720505,GPR
44,0.6921573564545767,0.688640534494519,0.7011228238556276,Random Forest
44,0.6334354473987237,0.6227101696919912,0.6430939980944272,Ridge
44,0.660920394079255,0.6465488253087903,0.6748869519939216,XGBoost
45,0.6693285803657207,0.6693278530869109,0.6693287219520012,GPR
45,0.711176778669405,0.7031260488778105,0.7206541754907339,Random Forest
45,0.6578946133859526,0.6490226832411737,0.6660870336787597,Ridge
45,0.6585074974815559,0.642484991977589,0.674336264886472,XGBoost
46,0.7515954731663497,0.7515954501385869,0.7515955291271708,GPR
46,0.7386468246109816,0.7189336385134196,0.7431913917383123,Random Forest
46,0.6673686164208141,0.6635729672908621,0.6733293584416301,Ridge
46,0.6603448995330898,0.6405980825754369,0.6659002506779061,XGBoost
47,0.7590765416470822,0.7590765004932252,0.7590765508633925,GPR
47,0.7449155260757158,0.7300461309839053,0.7527026260776386,Random Forest
47,0.6907869960964101,0.6887911813511944,0.6930942467872148,Ridge
47,0.6936326483109441,0.669901927914036,0.6994828519805825,XGBoost
48,0.7170916108562599,0.7170914455709412,0.7170917339491407,GPR
48,0.7600536335913459,0.7414474964815282,0.7644824294200876,Random Forest
48,0.6978658868427907,0.6877324275048349,0.6999322909991155,Ridge
48,0.6819460277283144,0.6680232826623715,0.6902075212007897,XGBoost
49,0.7244322821525448,0.7244322183429762,0.7244323380290073,GPR
49,0.7578518727185466,0.7451499441394421,0.766067083298203,Random Forest
49,0.7089763026523993,0.704632730523588,0.7134331612501338,Ridge
49,0.6835505325167441,0.681689135001997,0.6852917636257287,XGBoost
50,0.7002470588767831,0.7002470006065111,0.7002470906630134,GPR
50,0.7502784395470812,0.7369619413032117,0.7593096742140287,Random Forest
50,0.6945274290386854,0.6868122732798169,0.6983916568849824,Ridge
