n_total,median,q25,q75,model
6,8.906574064289138,8.906574006028231,8.906574119718764,GPR
6,7.209358179557906,7.130649036148151,7.2341570573831975,Random Forest
6,9.60906974279778,9.60906974279778,9.60906974279778,Ridge
6,7.670028090880988,7.6556342215682704,7.70003257203016,XGBoost
7,9.49143894456029,9.491437032826209,9.491440116718598,GPR
7,8.750969778448265,8.577268429725539,8.993239639204717,Random Forest
7,8.70336796455908,8.70336796455908,8.70336796455908,Ridge
7,7.237782415655853,7.174284011997182,7.2616231556627975,XGBoost
8,9.233800048066378,9.233798129382253,9.23380316012474,GPR
8,6.950589154686792,6.787997507974171,7.067967924446454,Random Forest
8,7.828585339756903,7.828585339756903,7.828585339756903,Ridge
8,6.896241887894438,6.777011402785959,7.076865733145586,XGBoost
9,8.77055064514964,8.770550287869334,8.77055150807282,GPR
9,6.497631007765092,6.418228172192675,6.514155293547579,Random Forest
9,7.12229449942624,7.12229449942624,7.12229449942624,Ridge
9,8.140794793205409,7.883161354805734,8.274850973977985,XGBoost
10,9.533039578291083,9.533012308516692,9.5403413192171,GPR
10,10.42097570020589,10.333038071023527,10.536943304127174,Random Forest
10,8.597451835059614,8.597451835059614,8.597451835059614,Ridge
10,12.61742845229892,12.44974651244365,12.832078960523349,XGBoost
11,12.294821178673509,11.847308248349362,12.485536669577431,GPR
11,9.418175464225557,9.237219657948486,9.473491133108116,Random Forest
11,7.5458860875057585,7.5458860875057585,7.5458860875057585,Ridge
11,9.342954996249452,9.222318737069585,9.526124403082752,XGBoost
12,9.12527232649878,8.954929341861495,10.892164945863321,GPR
12,7.835529662431514,7.711285770188159,7.911290703264813,Random Forest
12,7.129846661950858,7.129846661950858,7.129846661950858,Ridge
12,6.727140874215499,6.513606871474421,7.004101551095269,XGBoost
13,9.068021674847355,8.796202233233195,11.319119167037645,GPR
13,7.267244092577924,7.22686598494,7.575527968326679,Random Forest
13,6.831217385153823,6.831217385153823,6.831217385153823,Ridge
13,6.656283848593597,6.362756167853442,6.822940940317075,XGBoost
14,8.650327095136756,8.546771090187303,10.817029567756405,GPR
14,7.069090046868601,6.95901978578609,7.152828850958347,Random Forest
14,6.825418941860439,6.825418941860439,6.825418941860439,Ridge
14,6.926099913888077,6.604733302951534,7.167163757723793,XGBoost
15,8.63723602502266,8.510159555683991,9.258397265533773,GPR
15,6.768262878573328,6.646232326724162,6.824955161068389,Random Forest
15,6.877879404947616,6.877879404947616,6.877879404947616,Ridge
15,6.40512780710055,6.32434392496298,6.818358775133497,XGBoost
16,7.6320329650921845,7.457589768174944,8.598665227450425,GPR
16,6.5727053611542665,6.499546388180138,6.779364671075035,Random Forest
16,7.612660719587019,7.55727717464783,8.08003407461591,Ridge
16,6.160016337211134,6.0889340881524685,6.37986077672636,XGBoost
17,7.57135667554955,7.570852983336785,7.577566641485129,GPR
17,6.446550331417386,6.353966002701667,6.549565771426302,Random Forest
17,7.706026798401222,7.31565238828544,7.787410660319616,Ridge
17,6.1170179895567145,6.013731235742101,6.25763720161794,XGBoost
18,7.383625604374421,7.380817076186485,7.3955434739571535,GPR
18,6.159822183617862,5.915824356837824,6.3626445290273175,Random Forest
18,7.467616321268286,7.022652374525804,7.599120859043847,Ridge
18,5.978161842002654,5.84364202171434,6.055913782494952,XGBoost
19,7.335422721846804,7.3353468622958395,7.3354238319424105,GPR
19,6.009991882042918,5.911922881622543,6.304765364264097,Random Forest
19,7.262599089215055,7.008943534462606,7.601089965325221,Ridge
19,6.23100334593751,6.200595138386293,6.425159656202647,XGBoost
20,7.451126212165526,7.451079211735638,7.451360452488934,GPR
20,6.4012955853060545,6.353053110705762,6.445065503177237,Random Forest
20,7.712383130689814,7.436708332156238,7.827750297213139,Ridge
20,6.832216397832554,6.795855509060779,6.931398112265519,XGBoost
21,8.032645889533967,8.030783288169637,8.032649424107658,GPR
21,6.179853291935135,6.070708890560751,6.343791091865893,Random Forest
21,7.499793359456822,7.281318391948309,7.708990941516477,Ridge
21,6.565864628103164,6.513762564414364,6.6846496690366495,XGBoost
22,7.890403096228212,7.8658112573302805,7.890410506548769,GPR
22,5.876079147962336,5.8441981196140445,5.947851766305062,Random Forest
22,7.535139478614719,7.232920420718342,7.734719585150646,Ridge
22,6.381993496524145,6.353688303523282,6.578123745989715,XGBoost
23,8.351693516172567,8.309992682678624,8.354080084821982,GPR
23,6.098742559608828,6.008402489582494,6.298084024715287,Random Forest
23,7.6987872100829,7.506361600246267,7.870986726781399,Ridge
23,6.7209333477422994,6.655908902560926,6.808438978515822,XGBoost
24,8.357032175764774,8.330414471838171,8.359971354473151,GPR
24,6.224502763751399,6.155194502648884,6.34142039692026,Random Forest
24,7.617929035854517,7.379735588279358,8.014986632607732,Ridge
24,6.782474980849007,6.71393188172619,6.912476018382209,XGBoost
25,8.396284041713656,8.39627852534775,8.396635304843317,GPR
25,6.36047989703013,6.281782033612753,6.470677670125779,Random Forest
25,7.694834358174425,7.400919226170448,8.02058848796708,Ridge
25,7.039767286597869,6.916060397285801,7.126896215881631,XGBoost
26,7.88838001325026,7.888369561124824,7.888391418542157,GPR
26,6.434664302762627,6.290109827899671,6.476131995931789,Random Forest
26,7.883558007658493,7.26290389674205,8.017614333168638,Ridge
26,7.01598208201016,6.826345602114019,7.113236988180253,XGBoost
27,8.657695669602589,8.657687609396843,8.657704694570524,GPR
27,5.860994628663911,5.632488506677557,5.904209209360092,Random Forest
27,7.219696852489234,6.857760527731798,7.574353580305775,Ridge
27,6.257175410091934,6.104392539866102,6.3332797330016355,XGBoost
28,8.535080814137583,8.534946051397283,8.535088524334085,GPR
28,5.388393866119138,5.1579749951747385,5.5378937514459405,Random Forest
28,6.7049428925405685,6.308546676308489,6.97352642622077,Ridge
28,5.863519527473219,5.729737323663403,5.910177989819717,XGBoost
29,8.072524562244777,8.0725204041828,8.072529300568728,GPR
29,4.809916881660801,4.7397440676786635,4.970632933664142,Random Forest
29,6.5030829643626245,6.166339513772293,6.580729680932234,Ridge
29,5.491092250726732,5.390354642823237,5.543394438355049,XGBoost
30,8.049765662392499,8.049762308478417,8.050332081304205,GPR
30,4.761661266321203,4.684909233636344,4.894778687755766,Random Forest
30,6.208446198742664,6.139472460637527,6.381331020842626,Ridge
30,5.379032327567618,5.288186512619977,5.567465050603822,XGBoost
31,7.974346915788852,7.974343777867906,7.9749547558938065,GPR
31,4.699231107827554,4.5930796821586695,4.789286762569597,Random Forest
31,6.163854290601709,5.965862498406312,6.310201137715744,Ridge
31,5.365396218485598,5.298890606808866,5.482418512952668,XGBoost
32,7.344810721605303,7.344801744833479,7.344823413761945,GPR
32,4.721147158515597,4.6524667654237675,4.823432906491119,Random Forest
32,5.970182248370058,5.913360322705791,6.070389727322111,Ridge
32,5.262794609363191,5.163998308375282,5.387351662116344,XGBoost
33,6.97618623894234,6.97618273601134,6.9761887581518405,GPR
