part,step_id,variant,model,seed,cv,subset,target,train_mode,test_domain,n_added,n,n_total,n_groups,n_test,R2,RMSE,MAE
dopt,n_added=0,,Ridge,42,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.4088206312525091,5.806068154268399,3.8387063724892414
dopt,n_added=0,,Ridge,43,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.40087230285920195,5.844968746563621,3.990847699394448
dopt,n_added=0,,Ridge,44,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.38802423275982734,5.907307897225572,3.919765587034826
dopt,n_added=0,,Ridge,45,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.49719247942081235,5.35455491806264,3.7461393474713405
dopt,n_added=0,,Ridge,46,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.4149608202354509,5.7758375587502435,3.907306449754228
dopt,n_added=0,,Ridge,47,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.45395522903322905,5.5800311202453985,4.17951371523168
dopt,n_added=0,,Ridge,48,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.48454909830323556,5.421458611055055,3.599164044239307
dopt,n_added=0,,Ridge,49,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.48138580701342004,5.43806874945644,3.712768130522133
dopt,n_added=0,,Ridge,50,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.48888256469053304,5.398621037238794,3.947440275785889
dopt,n_added=0,,Ridge,51,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.4351423886647552,5.675341343890804,3.6911660829649473
dopt,n_added=0,,Random Forest,42,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.6437130210326427,4.507362322971005,3.2782591576107585
dopt,n_added=0,,Random Forest,43,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.574887088408091,4.923507939238718,3.293462398106532
dopt,n_added=0,,Random Forest,44,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.6514278654003652,4.458295265943101,3.168926690450872
dopt,n_added=0,,Random Forest,45,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.6601848730295756,4.4019372626782545,3.124472031926184
dopt,n_added=0,,Random Forest,46,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.6790048888327084,4.278304621898085,3.0628053871145418
dopt,n_added=0,,Random Forest,47,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.657455532631843,4.4195797338982326,3.303840417583385
dopt,n_added=0,,Random Forest,48,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.6734254532588908,4.315326508679704,3.229676428019453
dopt,n_added=0,,Random Forest,49,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.6700026376334194,4.3378819500179455,3.193482046409047
dopt,n_added=0,,Random Forest,50,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.581477930934745,4.885192442875122,3.4396845834061764
dopt,n_added=0,,Random Forest,51,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.6486560087389487,4.475986418058822,3.259677177005496
dopt,n_added=0,,XGBoost,42,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.5433463931809539,5.102886877565243,3.8066788480395366
dopt,n_added=0,,XGBoost,43,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.5836142935317814,4.8727081610121905,3.7169477462768556
dopt,n_added=0,,XGBoost,44,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.5544302547584085,5.040578025234038,3.812237108321417
dopt,n_added=0,,XGBoost,45,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.5628123697622085,4.99294092366343,3.76188847791581
dopt,n_added=0,,XGBoost,46,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.5621989415619931,4.99644255194672,3.7074115065165927
dopt,n_added=0,,XGBoost,47,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.567257858283684,4.967491010155737,3.838191725185939
dopt,n_added=0,,XGBoost,48,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.5725584604565133,4.936974197677887,3.8517032900310704
dopt,n_added=0,,XGBoost,49,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.5735724986518518,4.931114620842353,3.7504383250645232
dopt,n_added=0,,XGBoost,50,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.5957978486109958,4.800890550251781,3.630529608499436
dopt,n_added=0,,XGBoost,51,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.5793015594856481,4.897877804067625,3.817337851751419
dopt,n_added=0,,GPR,42,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.22514506067776308,6.647107426761428,4.260291293034841
dopt,n_added=0,,GPR,43,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.22514701719370667,6.647099034752029,4.260288530622574
dopt,n_added=0,,GPR,44,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.22513946740727475,6.647131417705295,4.260298206890433
dopt,n_added=0,,GPR,45,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.22514456604656685,6.647109548362522,4.260290832773229
dopt,n_added=0,,GPR,46,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.2251555336750447,6.647062505209206,4.260275733739943
dopt,n_added=0,,GPR,47,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.22514840197216734,6.647093095068058,4.260285414833179
dopt,n_added=0,,GPR,48,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.2251498095947846,6.647087057393971,4.260289836475776
