part,step_id,variant,model,seed,cv,subset,target,train_mode,test_domain,n_added,n,n_total,n_groups,n_test,R2,RMSE,MAE
fivepos,OFAT,,Ridge,42,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.5541001129916711,5.13608251871262,3.8559296386556783
fivepos,OFAT,,Ridge,43,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.5156360665454336,5.353024242996465,4.091376457519438
fivepos,OFAT,,Ridge,44,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.5539752939108376,5.136801330558249,3.833819531764614
fivepos,OFAT,,Ridge,45,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.6028964749656543,4.846912534384601,3.6652701690154763
fivepos,OFAT,,Ridge,46,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.566565051697407,5.063785193299274,3.79774460109778
fivepos,OFAT,,Ridge,47,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.5699572160675772,5.043931081247723,4.022734030367235
fivepos,OFAT,,Ridge,48,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.5856190421515104,4.951231201584999,3.7039484648615106
fivepos,OFAT,,Ridge,49,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.6107332175241311,4.798847890128266,3.652880683777229
fivepos,OFAT,,Ridge,50,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.5991877709543172,4.869493532816966,3.7464527954283744
fivepos,OFAT,,Ridge,51,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.5507133174765302,5.155550964755357,3.899056524882591
fivepos,OFAT,,Random Forest,42,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.6355126904863041,4.643596952569708,3.643889018388654
fivepos,OFAT,,Random Forest,43,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.6508297087851915,4.544979765984822,3.3896006387356117
fivepos,OFAT,,Random Forest,44,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.6790342662674672,4.357552682169598,3.3398769343892876
fivepos,OFAT,,Random Forest,45,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.6262162999762142,4.702442468278546,3.5810831899822952
fivepos,OFAT,,Random Forest,46,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.6630950956526334,4.464439871125369,3.3552946108956574
fivepos,OFAT,,Random Forest,47,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.6299602621942875,4.6788324557729775,3.6438533570896645
fivepos,OFAT,,Random Forest,48,LOCO,OFAT,Thickness_5pos,,all,,,42,24,42,0.6412096383721201,4.607164249061112,3.5983992384314143
